ID	ERR1971003_profiled_metagenome	ERR1971004_profiled_metagenome	ERR1971005_profiled_metagenome	ERR1971006_profiled_metagenome	ERR1971007_profiled_metagenome	ERR1971008_profiled_metagenome	ERR1971009_profiled_metagenome	ERR1971010_profiled_metagenome	ERR1971011_profiled_metagenome	ERR1971012_profiled_metagenome	ERR1971013_profiled_metagenome	ERR1971014_profiled_metagenome	ERR1971015_profiled_metagenome	ERR1971016_profiled_metagenome	ERR1971017_profiled_metagenome	ERR1971018_profiled_metagenome	ERR1971019_profiled_metagenome	ERR1971020_profiled_metagenome	ERR1971021_profiled_metagenome	ERR1971022_profiled_metagenome	ERR1971023_profiled_metagenome	ERR1971024_profiled_metagenome	ERR1971025_profiled_metagenome	ERR1971026_profiled_metagenome	ERR1971027_profiled_metagenome	ERR1971028_profiled_metagenome	ERR1971029_profiled_metagenome	ERR1971030_profiled_metagenome	ERR1971031_profiled_metagenome
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	8.70181	9.46856	9.03437	11.97794	4.0445	25.09509	0.04141	0.57099	2.82152	6.21576	0.0009	1.01057	0.57621	1.19656	1.17028	0.28926	0.74064	0.00745	0.06998	0.0	1.82925	0.5467	0.60542	2.38998	0.98921	1.92473	0.00661	0.13173	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	2.31853	0.60023	5.03157	5.76052	1.66202	13.59018	0.03887	0.11709	0.00115	2.83806	0.0005	0.21199	0.05284	0.65427	0.35248	0.0822	0.36247	0.00484	0.02346	0.0	0.51226	0.02357	0.32082	1.01648	0.23319	0.75471	0.00587	0.0386	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis|t__Bifidobacterium_adolescentis_unclassified	2.31853	0.60023	5.03157	3.85233	1.66202	13.59018	0.03887	0.11709	0.00115	2.83806	0.0005	0.21199	0.05284	0.65427	0.35248	0.0822	0.36247	0.00484	0.02346	0.0	0.51226	0.02357	0.32082	0.6371	0.23319	0.75471	0.00587	0.0386	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis|t__GCF_000154085	0.0	0.0	0.0	1.90819	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37938	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis	0.0	0.0	0.0	0.0	0.0	0.00345	0.0	0.0	0.0734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis|t__Bifidobacterium_animalis_unclassified	0.0	0.0	0.0	0.0	0.0	0.00345	0.0	0.0	0.0734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	3.73964	0.0	1.66116	1.29211	0.0	4.82172	0.0	0.0	0.0	0.0	0.0	0.56694	0.0	0.33925	0.14209	0.0	0.18709	0.0	0.0	0.0	0.92821	0.0	0.20368	0.29175	0.0	0.48543	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum|t__Bifidobacterium_bifidum_unclassified	3.73964	0.0	1.66116	1.29211	0.0	4.82172	0.0	0.0	0.0	0.0	0.0	0.56694	0.0	0.33925	0.14209	0.0	0.18709	0.0	0.0	0.0	0.92821	0.0	0.20368	0.29175	0.0	0.48543	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum	0.0	2.53018	0.37539	0.0	0.0	0.00502	0.0	0.0	0.0	0.0	0.0	0.0	0.24181	0.03324	0.0	0.0	0.0005	0.0	0.0	0.0	0.0	0.16986	0.01802	0.0	0.0	0.00147	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum|t__GCF_000173455	0.0	2.53018	0.37539	0.0	0.0	0.00502	0.0	0.0	0.0	0.0	0.0	0.0	0.24181	0.03324	0.0	0.0	0.0005	0.0	0.0	0.0	0.0	0.16986	0.01802	0.0	0.0	0.00147	0.0	0.0	0.0
